round_epochs,val_loss,val_mse,loss,mse,activation,batch_size,dropout,epochs,kernel_initializer,last_activation,losses,lr,number_of_neurons,optimizer
100,0.006709675848473061,0.00670967623591423,0.006528978038358649,0.006528973,relu,30,0,100,uniform,linear,mse,0.2,125,Adam
100,0.006704452065298103,0.006704454310238361,0.00649503445546878,0.0064950343,relu,30,0,100,uniform,linear,mse,0.2,150,Adam
100,0.006675731919386583,0.006675732787698507,0.0067390247088807975,0.0067390273,relu,30,0,100,uniform,linear,mse,0.2,175,Adam
100,0.006653897022514664,0.00665389746427536,0.0064745725534464185,0.0064745755,relu,30,0,100,uniform,linear,mse,0.2,200,Adam
100,0.01497235110012196,0.014972355216741562,0.01481411832531816,0.014814117,relu,30,0,100,uniform,linear,mse,0.3,1,Adam
100,0.00843038299033594,0.008430381305515766,0.00756003152824154,0.007560033,relu,30,0,100,uniform,linear,mse,0.3,25,Adam
100,0.007081896219217751,0.007081897463649511,0.006970733172064157,0.0069707297,relu,30,0,100,uniform,linear,mse,0.3,50,Adam
100,0.007739379809330417,0.007739379536360502,0.006872691351822332,0.006872689,relu,30,0,100,uniform,linear,mse,0.3,75,Adam
100,0.006735518320842348,0.006735516246408224,0.006698097019260259,0.0066980966,relu,30,0,100,uniform,linear,mse,0.3,100,Adam
100,0.007179688692137723,0.007179688196629286,0.006636119494459739,0.0066361185,relu,30,0,100,uniform,linear,mse,0.3,125,Adam
100,0.006871458912160328,0.006871458142995834,0.006543746029860095,0.0065437458,relu,30,0,100,uniform,linear,mse,0.3,150,Adam
100,0.00687706348585049,0.006877063773572445,0.006480022308073546,0.006480025,relu,30,0,100,uniform,linear,mse,0.3,175,Adam
100,0.006733352449116039,0.006733352318406105,0.006449249152118634,0.006449251,relu,30,0,100,uniform,linear,mse,0.3,200,Adam
100,0.015027321500690884,0.015027320012450218,0.014800259057726514,0.0148002645,relu,30,0,100,uniform,linear,mse,0.5,1,Adam
100,0.007621336392582575,0.007621336728334427,0.0074290828990112795,0.007429082,relu,30,0,100,uniform,linear,mse,0.5,25,Adam
100,0.007205920345845224,0.00720592075958848,0.006903360834541289,0.006903362,relu,30,0,100,uniform,linear,mse,0.5,50,Adam
